response_id,timestamp,age,gender,location,occupation,education,income,marital_status,household_size,shopping_frequency,current_platforms,categories_purchased,primary_device,monthly_spending_total,fashion_spending,homedecor_spending,wellness_spending,fashion_purchase_freq,homedecor_purchase_freq,wellness_purchase_freq,decision_factors,pain_points,feature_importance_curated_collections,feature_importance_personalized_recommendations,feature_importance_ar_virtual_try-on,feature_importance_live_shopping_video_commerce,feature_importance_subscription_boxes,feature_importance_same-day_next-day_delivery,feature_importance_loyalty_rewards_program,feature_importance_style_lifestyle_content,feature_importance_community_reviews_&_forums,sustainability_importance,sustainability_pay_more,artisan_support,shopping_style,discovery_channels,shopizz_categories_interest,features_likely_to_use,likelihood_to_try,shopizz_monthly_spending,likelihood_to_recommend,will_signup,reason_for_no,loyalty_factors,open_feedback,other_comments,email_capture
RESP_0001,51:09.4,25-34 years,Male,Metro Cities,Business Owner/Entrepreneur,Postgraduate (Master's degree or higher),"₹75,001 - ₹1,00,000",Married without children,2,Once a month,Amazon|Nykaa,Books|Home Décor - Kitchen & Dining,Equally use multiple devices,"₹1,000 - ₹2,500",₹0,"Above ₹10,000",₹0,Never,Every 6 months,Never,Customer Reviews|Product Quality|Unique/Exclusive Products,Poor quality products|Misleading product descriptions/images,Very Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely important,6-10% more,Very important,Premium Quality,"Influencer Recommendations|Platform Recommendations|Word of Mouth (Friends/Family)|Fashion/Lifestyle Blogs/Magazines|Search Engines (Google)|Social Media (Instagram, Facebook, YouTube)",Home Décor - Furniture|Men's Fashion|Wellness - Supplements|Wellness - Haircare|Women's Fashion|Ethnic Wear|Home Décor - Furnishings,Same-day delivery|Style consultation services|Rent/Trial before purchase|Virtual try-on for clothes/décor|Subscription boxes|Custom/personalized products,Maybe/Not sure (3),₹1 - ₹500,Not sure,NO,Delivery concerns,N/A,,,No
RESP_0002,55:14.4,55+ years,Female,Metro Cities,Retired,Professional degree,"₹50,001 - ₹75,000",Married with children,03-Apr,Once every few months,Ajio|Myntra|Flipkart,Fashion - Accessories|Home Décor - Furnishings|Other,Smartphone,"₹1,000 - ₹2,500","₹1,501 - ₹3,000","Above ₹10,000",₹0,Quarterly,Monthly,Never,Unique/Exclusive Products|Fast Delivery|User-friendly Website/App,Misleading product descriptions/images|Lack of personalization,Moderately Important,Slightly Important,Moderately Important,Very Important,Moderately Important,Very Important,Extremely Important,Very Important,Very Important,Extremely important,Price doesn't matter if sustainable,Very important,Classic & Timeless,Platform Recommendations|Online Ads,Wellness - Skincare|Home Décor - Furnishings|Fashion Accessories|Home Décor - Decorative Items|Wellness - Fitness Products,Same-day delivery|Subscription boxes|Custom/personalized products|Style consultation services,Definitely will try (5),"₹10,001 - ₹20,000",Probably yes,YES,N/A,Sustainability Focus|Supporting Indian Artisans|Fast & Reliable Delivery,,,Yes
RESP_0003,38:02.4,35-44 years,Female,Tier 3 Cities/Towns,Salaried Professional (Private Sector),Postgraduate (Master's degree or higher),"₹1,00,001 - ₹1,50,000",Married with children,5 or more,Once a week,Flipkart|Instagram Shopping|FirstCry|Amazon|Urban Ladder|Pepperfry|Other,Home Décor - Furnishings|Fashion - Women's Clothing|Home Décor - Lighting|Wellness - Yoga & Meditation,Laptop/Desktop,"₹1,000 - ₹2,500","₹1 - ₹1,500","₹1 - ₹1,000","₹1 - ₹1,000",Monthly,Every 6 months,Monthly,Product Quality|Easy Returns/Exchanges|Customer Service,Misleading product descriptions/images|Too many options (overwhelming),Moderately Important,Moderately Important,Not Important,Slightly Important,Moderately Important,Extremely Important,Extremely Important,Not Important,Moderately Important,Moderately important,Up to 5% more,Very important,Trendy & Fashion-forward,"Other|Email Newsletters|Social Media (Instagram, Facebook, YouTube)",Wellness - Skincare|Home Décor - Furnishings|Men's Fashion,Custom/personalized products|Style consultation services|Rent/Trial before purchase|Virtual try-on for clothes/décor,Probably will try (4),"₹501 - ₹1,500",Probably yes,YES,N/A,Supporting Indian Artisans|Exclusive Products|Excellent Customer Service,,,Yes
RESP_0004,47:29.4,35-44 years,Female,Metro Cities,Business Owner/Entrepreneur,Undergraduate (Bachelor's degree),"₹75,001 - ₹1,00,000",Married with children,5 or more,Once every few months,Urban Ladder|Instagram Shopping|Amazon,Wellness - Skincare|Fashion - Women's Clothing|Wellness - Haircare|Home Décor - Wall Art|Other|Home Décor - Lighting|Fashion - Accessories|Wellness - Fitness Equipment,Smartphone,"₹2,501 - ₹5,000","₹1,501 - ₹3,000","₹2,501 - ₹5,000","₹1,001 - ₹2,000",Monthly,Monthly,Every 6 months,Sustainable/Eco-friendly Products|Easy Returns/Exchanges|Customer Service,Lack of Indian/artisan products|Lack of personalization|Payment security concerns,Moderately Important,Extremely Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Moderately Important,Moderately Important,Very Important,Slightly important,Up to 5% more,Very important,Classic & Timeless,"Influencer Recommendations|Search Engines (Google)|Social Media (Instagram, Facebook, YouTube)|Other",Wellness - Skincare|Fashion Accessories|Ethnic Wear,Loyalty rewards program|Live shopping events,Probably won't try (2),₹0,Definitely not,YES,N/A,Supporting Indian Artisans|Competitive Pricing|Personalized Experience,,,Yes
RESP_0005,06:48.4,18-24 years,Female,Metro Cities,Student,High School or below,"₹1,50,001 - ₹2,00,000",Single,1 (Living alone),2-3 times a month,Other|Brand Websites directly|Urban Ladder,Home Décor - Wall Art|Wellness - Aromatherapy|Fashion - Women's Clothing,Laptop/Desktop,"₹5,001 - ₹10,000","₹1,501 - ₹3,000",₹0,"₹1,001 - ₹2,000",Quarterly,Never,Monthly,Fast Delivery|Price/Discounts|Product Variety,Other|Slow delivery,Very Important,Moderately Important,Slightly Important,Moderately Important,Very Important,Moderately Important,Extremely Important,Very Important,Slightly Important,Very important,I wouldn't pay more,Very important,Budget-conscious,Platform Recommendations|Influencer Recommendations|Online Ads,Fashion Accessories|Home Décor - Furnishings|Footwear|Ethnic Wear,Rent/Trial before purchase|Subscription boxes|Custom/personalized products|Personalized style recommendations|Same-day delivery|Live shopping events,Maybe/Not sure (3),₹1 - ₹500,Probably yes,YES,N/A,Sustainability Focus|Supporting Indian Artisans|Personalized Experience,,,Yes
RESP_0006,18:40.4,18-24 years,Female,Tier 2 Cities,Student,Undergraduate (Bachelor's degree),"Below ₹25,000",Married with children,03-Apr,2-3 times a month,Ajio|Pepperfry|Instagram Shopping|Nykaa|Amazon,Fashion - Women's Clothing|Home Décor - Furniture|Home Décor - Furnishings,Smartphone,"₹2,501 - ₹5,000",₹0,₹0,₹0,Never,Never,Never,Price/Discounts|Product Quality|Unique/Exclusive Products,Lack of Indian/artisan products|Other|Slow delivery|Misleading product descriptions/images,Very Important,Very Important,Slightly Important,Extremely Important,Not Important,Extremely Important,Moderately Important,Not Important,Moderately Important,Moderately important,Up to 5% more,Not important at all,Trendy & Fashion-forward,"Social Media (Instagram, Facebook, YouTube)|Platform Recommendations|Fashion/Lifestyle Blogs/Magazines|Search Engines (Google)",Wellness - Skincare|Home Décor - Furnishings|Fashion Accessories|Wellness - Haircare|Wellness - Supplements|Women's Fashion,Subscription boxes|Rent/Trial before purchase|Same-day delivery,Definitely will try (5),₹0,Probably yes,YES,N/A,Sustainability Focus|Quality Products|Exclusive Products,,,Yes
RESP_0007,29:05.4,18-24 years,Female,Tier 1 Cities,Homemaker,Undergraduate (Bachelor's degree),"₹75,001 - ₹1,00,000",Single,2,Once a month,Other|FirstCry|Meesho,Home Décor - Wall Art|Books|Fashion - Men's Clothing,Smartphone,"Below ₹1,000","₹5,001 - ₹10,000",₹0,₹0,Quarterly,Never,Never,User-friendly Website/App|Price/Discounts|Sustainable/Eco-friendly Products,Too many options (overwhelming)|High shipping charges|Complicated return process|Misleading product descriptions/images,Extremely Important,Very Important,Slightly Important,Extremely Important,Moderately Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very important,11-20% more,Extremely important,Budget-conscious,"Social Media (Instagram, Facebook, YouTube)|Platform Recommendations|Fashion/Lifestyle Blogs/Magazines|Other",Wellness - Skincare|Women's Fashion|Home Décor - Kitchen & Dining|Wellness - Fitness Products|Men's Fashion,Live shopping events|Custom/personalized products|Subscription boxes|Same-day delivery|Virtual try-on for clothes/décor|Style consultation services,Probably won't try (2),₹0,Definitely not,NO,Other,N/A,,,Yes
RESP_0008,03:53.4,45-54 years,Female,Tier 2 Cities,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"₹1,00,001 - ₹1,50,000",Single,1 (Living alone),Once a week,Myntra|Ajio|Meesho|Flipkart|Urban Ladder,Fashion - Accessories|Fashion - Women's Clothing|Home Décor - Wall Art|Wellness - Haircare|Home Décor - Kitchen & Dining|Other,Laptop/Desktop,"₹5,001 - ₹10,000","₹3,001 - ₹5,000","₹5,001 - ₹10,000","Above ₹5,000",Quarterly,Every 6 months,Monthly,Customer Service|Sustainable/Eco-friendly Products|Price/Discounts,Misleading product descriptions/images|Not enough sustainable/ethical options|Lack of personalization|High shipping charges,Moderately Important,Very Important,Slightly Important,Extremely Important,Moderately Important,Very Important,Extremely Important,Very Important,Extremely Important,Moderately important,Up to 5% more,Not important at all,Budget-conscious,Influencer Recommendations|Word of Mouth (Friends/Family)|Online Ads|Platform Recommendations,Wellness - Skincare|Home Décor - Furnishings|Home Décor - Furniture|Kids' Fashion|Home Décor - Kitchen & Dining,Custom/personalized products|Style consultation services|Loyalty rewards program,Maybe/Not sure (3),₹1 - ₹500,Not sure,NO,Already satisfied with current platforms,N/A,,,No
RESP_0009,27:50.4,35-44 years,Male,Metro Cities,Business Owner/Entrepreneur,Postgraduate (Master's degree or higher),"₹50,001 - ₹75,000",Married with children,03-Apr,Once a month,Flipkart|Meesho|Brand Websites directly|Nykaa|Amazon,Books|Fashion - Men's Clothing|Wellness - Skincare|Fashion - Footwear|Home Décor - Wall Art,Smartphone,"₹5,001 - ₹10,000","₹5,001 - ₹10,000","₹5,001 - ₹10,000","₹1,001 - ₹2,000",Quarterly,Monthly,Every 6 months,Customer Reviews|Price/Discounts|Sustainable/Eco-friendly Products,Slow delivery|Complicated return process|Other,Very Important,Very Important,Not Important,Very Important,Moderately Important,Very Important,Not Important,Extremely Important,Very Important,Very important,11-20% more,Moderately important,Impulsive,Fashion/Lifestyle Blogs/Magazines|Influencer Recommendations,Home Décor - Furniture|Wellness - Fitness Products|Western Wear|Men's Fashion|Home Décor - Furnishings,Same-day delivery|Live shopping events|Style consultation services|Loyalty rewards program,Probably will try (4),₹1 - ₹500,Probably yes,YES,N/A,Sustainability Focus|Competitive Pricing|Easy Returns,,,Yes
RESP_0010,00:38.4,35-44 years,Female,Tier 1 Cities,Salaried Professional (Private Sector),High School or below,"₹50,001 - ₹75,000",Married without children,2,Multiple times a week,Urban Ladder|Flipkart|FirstCry|Brand Websites directly|Nykaa|Instagram Shopping,Home Décor - Furnishings|Wellness - Haircare|Books|Home Décor - Furniture|Home Décor - Kitchen & Dining,Laptop/Desktop,"₹5,001 - ₹10,000",₹0,"₹1 - ₹1,000","₹3,501 - ₹5,000",Never,Quarterly,Quarterly,Customer Reviews|Easy Returns/Exchanges|Unique/Exclusive Products,Complicated return process|Other|Payment security concerns,Very Important,Moderately Important,Extremely Important,Extremely Important,Moderately Important,Moderately Important,Very Important,Slightly Important,Very Important,Slightly important,I wouldn't pay more,Slightly important,Trendy & Fashion-forward,Online Ads|Fashion/Lifestyle Blogs/Magazines|Other,Home Décor - Furnishings|Fashion Accessories|Women's Fashion|Home Décor - Kitchen & Dining|Wellness - Fitness Products|Wellness - Supplements,Same-day delivery|Virtual try-on for clothes/décor,Maybe/Not sure (3),"₹501 - ₹1,500",Probably yes,NO,Delivery concerns,N/A,,,Yes
